Table with column headers in row 3,,,,,,
"2017 Poverty Estimates for School districts                                                                                                                                                       Source: U.S. Census Bureau, Small Area Income and Poverty Program (SAIPE)                                                                                                              Release date:   December 2018",,,,,,
State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AL,01,02760,Piedmont City School District,"6,471","1,071",274
AL,01,02790,Pike County School District,"14,889","2,319",770
AL,01,00195,Pike Road City School District,"5,394","1,058",80
AL,01,02820,Randolph County School District,"16,650","2,542",655
AL,01,02850,Roanoke City School District,"6,020","1,055",303
AL,01,02880,Russell County School District,"25,992","4,375","1,283"
AL,01,02910,Russellville City School District,"9,769","1,796",628
AL,01,00185,Saraland City School District,"13,829","2,244",421
AL,01,00189,Satsuma City School District,"6,169","1,033",189
AL,01,02940,Scottsboro City School District,"14,404","2,177",457
AL,01,02970,Selma City School District,"18,576","3,439","1,425"
AL,01,03000,Sheffield City School District,"9,051","1,313",443
AL,01,03030,Shelby County School District,"129,319","22,821","2,010"
AL,01,03062,St. Clair County School District,"56,663","9,537","1,408"
AL,01,03090,Sumter County School District,"12,687","1,741",774
AL,01,03120,Sylacauga City School District,"12,519","2,099",559
AL,01,03150,Talladega City School District,"15,652","2,430",778
AL,01,03180,Talladega County School District,"47,884","7,557","1,788"
AL,01,03210,Tallapoosa County School District,"21,948","3,328",781
AL,01,03240,Tallassee City School District,"9,020","1,535",288
AL,01,03270,Tarrant City School District,"6,397","1,296",406
AL,01,03300,Thomasville City School District,"5,493",901,255
AL,01,03330,Troy City School District,"18,378","2,250",892
AL,01,00013,Trussville City School District,"20,071","3,875",279
AL,01,03360,Tuscaloosa City School District,"94,903","11,431","2,957"
AL,01,03390,Tuscaloosa County School District,"112,908","19,847","3,166"
AL,01,03420,Tuscumbia City School District,"8,587","1,255",267
AL,01,03430,Vestavia Hills City School District,"33,916","6,432",266
AL,01,03450,Walker County School District,"50,300","8,225","1,642"
AL,01,03480,Washington County School District,"16,531","2,787",749
AL,01,03510,Wilcox County School District,"10,719","1,891",873
AL,01,03540,Winfield City School District,"6,473","1,018",223
AL,01,03580,Winston County School District,"15,837","2,432",623
AK,02,00050,Alaska Gateway School District,"2,295",400,85
AK,02,00010,Aleutian Region School District,626,29,14
AK,02,00007,Aleutians East Borough School District,"3,370",206,22
AK,02,00180,Anchorage School District,"294,356","50,597","5,553"
AK,02,00525,Annette Island School District,"1,525",281,54
AK,02,00020,Bering Strait School District,"6,164","1,703",522
AK,02,00030,Bristol Bay Borough School District,867,113,22
AK,02,00730,Chatham School District,"1,291",185,48
AK,02,00800,Chugach School District,451,58,20
AK,02,00070,Copper River School District,"2,721",470,88
AK,02,00060,Cordova City School District,"2,156",354,18
AK,02,00090,Craig City School District,"1,254",233,55
AK,02,00100,Delta/Greely School District,"4,713",844,130
AK,02,00770,Denali Borough School District,"2,074",282,24
AK,02,00120,Dillingham City School District,"2,368",440,93
AK,02,00600,Fairbanks North Star Borough School District,"99,703","16,232","1,328"
AK,02,00130,Galena City School District,451,103,17
AK,02,00270,Haines Borough School District,"2,526",353,59
AK,02,00300,Hoonah City School District,770,117,39
AK,02,00330,Hydaburg City School District,392,69,23
AK,02,00520,Iditarod Area School District,"1,063",225,50
AK,02,00210,Juneau Borough School District,"32,094","5,025",426
AK,02,00360,Kake City School District,582,95,19
AK,02,00005,Kashunamiut School District,"1,026",294,126
AK,02,00390,Kenai Peninsula Borough School District,"58,617","9,662","1,156"
AK,02,00150,Ketchikan Gateway Borough School District,"13,856","2,274",250
AK,02,00450,Klawock City School District,788,151,31
AK,02,00480,Kodiak Island Borough School District,"13,448","2,421",218
AK,02,00760,Kuspuk School District,"1,494",340,113
AK,02,00485,Lake and Peninsula Borough School District,"1,620",309,69
AK,02,00001,Lower Kuskokwim School District,"15,105","3,734","1,208"
AK,02,00003,Lower Yukon School District,"6,618","1,846",818
AK,02,00510,Matanuska-Susitna Borough School District,"106,532","21,121","2,232"
AK,02,00540,Nenana City School District,363,68,13
AK,02,00570,Nome School District,"3,757",769,115
AK,02,00610,North Slope Borough School District,"9,782","1,797",262
AK,02,00625,Northwest Arctic Borough School District,"7,684","1,910",575
AK,02,00630,Pelican City School District,84,12,3
AK,02,00660,Petersburg Borough School District,"3,281",506,45
AK,02,00670,Pribilof School District,602,89,7
AK,02,00240,Sitka School District,"8,689","1,464",114
