LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,NECTA,NMNECTA,CD,SLDL,SLDU,SCHOOLYEAR,LOCALE,LOC_OTHER,LOC_COUNT,LOC_SCH
4214160,Lower Merion SD,42,301 E Montgomery Ave,Ardmore,PA,19003,42,42091,Montgomery County,40.008849000000005,-75.28184,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4202,42149,42017,2017-2018,21,0.0,1,21
4214190,Lower Moreland Township SD,42,2551 Murray Ave,Huntingdon Valley,PA,19006,42,42091,Montgomery County,40.122305,-75.062059,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4213,42152,42012,2017-2018,21,0.0,1,21
4214250,Methacton SD,42,1001 Kriebel Mill Rd,Eagleville,PA,19403,42,42091,Montgomery County,40.17558,-75.398621,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4207,42070,42044,2017-2018,21,0.0,1,21
4214310,Loyalsock Township SD,42,1605 Four Mile Drive,Williamsport,PA,17701,42,42081,Lycoming County,41.26259,-76.97246100000001,48700,"Williamsport, PA",1,558,"Williamsport-Lock Haven, PA",N,N,4210,42083,42023,2017-2018,23,0.0,1,23
4214430,Mahanoy Area SD,42,1 Golden Bear Dr,Mahanoy City,PA,17948,42,42107,Schuylkill County,40.809792,-76.150728,39060,"Pottsville, PA",2,N,N,N,N,4217,42123,42029,2017-2018,32,0.0,1,32
4214460,Line Mountain SD,42,185 Line Mountain Road,Herndon,PA,17830,42,42097,Northumberland County,40.666969,-76.826864,44980,"Sunbury, PA",2,146,"Bloomsburg-Berwick-Sunbury, PA",N,N,4211,42108,42027,2017-2018,42,35.2,2,"32, 42"
4214550,Manheim Central SD,42,281 White Oak Rd,Manheim,PA,17545,42,42071,Lancaster County,40.175572,-76.38890500000001,29540,"Lancaster, PA",1,N,N,N,N,4216,42037,42036,2017-2018,21,0.0,1,21
4214580,Manheim Township SD,42,450A Candlewyck Road,Lancaster,PA,17601,42,42071,Lancaster County,40.084313,-76.332509,29540,"Lancaster, PA",1,N,N,N,N,4216,42097,42013,2017-2018,21,0.0,1,21
4214730,Marion Center Area SD,42,22820 Route 403 Hwy N,Marion Center,PA,15759,42,42063,Indiana County,40.768612000000005,-79.05472,26860,"Indiana, PA",2,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",N,N,4209,42066,42041,2017-2018,42,0.0,1,42
4214760,Marple Newtown SD,42,40 Media Line Rd Ste 204,Newtown Square,PA,19073,42,42045,Delaware County,39.981705,-75.38135700000001,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",N,N,4207,42168,42026,2017-2018,21,0.0,1,21
4214790,Mars Area SD,42,545 Route 228,Mars,PA,16046,42,42019,Butler County,40.693979,-79.985258,38300,"Pittsburgh, PA",1,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",N,N,4203,42012,42021,2017-2018,21,36.09,2,"21, 41"
4214850,Central Fulton SD,42,151 E Cherry St,McConnellsburg,PA,17233,42,42057,Fulton County,39.928493,-77.997719,N,N,0,N,N,N,N,4209,42078,42030,2017-2018,42,0.0,1,42
4214880,McGuffey SD,42,90 McGuffey Drive,Claysville,PA,15323,42,42125,Washington County,40.140869,-80.36396400000001,38300,"Pittsburgh, PA",1,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",N,N,4218,42015,42046,2017-2018,41,31.11,2,"41, 42"
4214940,McKeesport Area SD,42,3590 O'Neil Boulevard,Mc Keesport,PA,15132,42,42003,Allegheny County,40.347052,-79.834391,38300,"Pittsburgh, PA",1,430,"Pittsburgh-New Castle-Weirton, PA-OH-WV",N,N,4214,42035,42045,2017-2018,21,0.0,1,21
